# Source values are transcribed from the European/METU section table. Keep verified=false until manually checked.
family,designation,shapeType,G_kg_per_m,h_mm,b_mm,t_mm,r1_mm,A_cm2,xs_cm,ys_cm,Ix_cm4,Iy_cm4,rx_cm,ry_cm,Iu_cm4,ru_cm,Iv_cm4,rv_cm,Ixy_cm4,verified
equal-angle,L 20 x 20 x 3,equal-angle,0.882,20,20,3,3.5,1.12,0.596,1.41,,,,,,,,,,false
equal-angle,L 25 x 25 x 3,equal-angle,1.12,25,25,3,3.5,1.42,0.721,1.77,,,,,,,,,,false
equal-angle,L 25 x 25 x 4,equal-angle,1.45,25,25,4,3.5,1.85,0.761,1.77,,,,,,,,,,false
equal-angle,L 30 x 30 x 3,equal-angle,1.36,30,30,3,5,1.74,0.835,2.12,,,,,,,,,,false
equal-angle,L 30 x 30 x 4,equal-angle,1.78,30,30,4,5,2.27,0.878,2.12,,,,,,,,,,false
equal-angle,L 35 x 35 x 4,equal-angle,2.09,35,35,4,5,2.67,1,2.47,,,,,,,,,,false
equal-angle,L 35 x 35 x 5,equal-angle,2.57,35,35,5,5,3.28,1.04,2.47,,,,,,,,,,false
equal-angle,L 40 x 40 x 4,equal-angle,2.42,40,40,4,6,3.08,1.12,2.83,,,,,,,,,,false
equal-angle,L 40 x 40 x 5,equal-angle,2.97,40,40,5,6,3.79,1.16,2.83,,,,,,,,,,false
equal-angle,L 40 x 40 x 6,equal-angle,3.52,40,40,6,6,4.48,1.2,2.83,,,,,,,,,,false
equal-angle,L 45 x 45 x 3,equal-angle,2.09,45,45,3,7,2.66,1.18,3.18,,,,,,,,,,false
equal-angle,L 45 x 45 x 4,equal-angle,2.74,45,45,4,7,3.49,1.23,3.18,,,,,,,,,,false
equal-angle,L 45 x 45 x 4.5,equal-angle,3.06,45,45,4.5,7,3.9,1.26,3.18,,,,,,,,,,false
equal-angle,L 45 x 45 x 5,equal-angle,3.38,45,45,5,7,4.3,1.28,3.18,,,,,,,,,,false
equal-angle,L 45 x 45 x 6,equal-angle,4,45,45,6,7,5.09,1.32,3.18,,,,,,,,,,false
equal-angle,L 45 x 45 x 7,equal-angle,4.6,45,45,7,7,5.86,1.36,3.18,,,,,,,,,,false
equal-angle,L 50 x 50 x 4,equal-angle,3.06,50,50,4,7,3.89,1.36,3.54,,,,,,,,,,false
equal-angle,L 50 x 50 x 5,equal-angle,3.77,50,50,5,7,4.8,1.4,3.54,,,,,,,,,,false
equal-angle,L 50 x 50 x 6,equal-angle,4.47,50,50,6,7,5.69,1.45,3.54,,,,,,,,,,false
equal-angle,L 50 x 50 x 7,equal-angle,5.15,50,50,7,7,6.56,1.49,3.54,,,,,,,,,,false
equal-angle,L 50 x 50 x 8,equal-angle,5.82,50,50,8,7,7.41,1.52,3.54,,,,,,,,,,false
equal-angle,L 50 x 50 x 9,equal-angle,6.47,50,50,9,7,8.24,1.56,3.54,,,,,,,,,,false
equal-angle,L 55 x 55 x 4,equal-angle,3.38,55,55,4,8,4.31,1.47,3.89,,,,,,,,,,false
equal-angle,L 55 x 55 x 5,equal-angle,4.18,55,55,5,8,5.32,1.52,3.89,,,,,,,,,,false
equal-angle,L 55 x 55 x 6,equal-angle,4.95,55,55,6,8,6.31,1.56,3.89,,,,,,,,,,false
equal-angle,L 60 x 60 x 4,equal-angle,3.7,60,60,4,8,4.71,1.6,4.24,,,,,,,,,,false
equal-angle,L 60 x 60 x 5,equal-angle,4.57,60,60,5,8,5.82,1.64,4.24,,,,,,,,,,false
equal-angle,L 60 x 60 x 6,equal-angle,5.42,60,60,6,8,6.91,1.69,4.24,,,,,,,,,,false
equal-angle,L 60 x 60 x 7,equal-angle,6.26,60,60,7,8,7.98,1.73,4.24,,,,,,,,,,false
equal-angle,L 60 x 60 x 8,equal-angle,7.09,60,60,8,8,9.03,1.77,4.24,,,,,,,,,,false
equal-angle,L 60 x 60 x 10,equal-angle,8.69,60,60,10,8,11.1,1.85,4.24,,,,,,,,,,false
equal-angle,L 63 x 63 x 5,equal-angle,4.82,63,63,5,9,6.14,1.71,4.45,,,,,,,,,,false
equal-angle,L 63 x 63 x 6,equal-angle,5.72,63,63,6,9,7.29,1.75,4.45,,,,,,,,,,false
equal-angle,L 63 x 63 x 6.5,equal-angle,6.17,63,63,6.5,9,7.85,1.78,4.45,,,,,,,,,,false
equal-angle,L 65 x 65 x 4,equal-angle,4.02,65,65,4,9,5.13,1.71,4.6,,,,,,,,,,false
equal-angle,L 65 x 65 x 5,equal-angle,4.97,65,65,5,9,6.34,1.76,4.6,,,,,,,,,,false
equal-angle,L 65 x 65 x 6,equal-angle,5.91,65,65,6,9,7.53,1.8,4.6,,,,,,,,,,false
equal-angle,L 65 x 65 x 7,equal-angle,6.83,65,65,7,9,8.7,1.85,4.6,,,,,,,,,,false
equal-angle,L 65 x 65 x 8,equal-angle,7.73,65,65,8,9,9.85,1.89,4.6,,,,,,,,,,false
equal-angle,L 65 x 65 x 9,equal-angle,8.62,65,65,9,9,11,1.93,4.6,,,,,,,,,,false
equal-angle,L 65 x 65 x 10,equal-angle,9.49,65,65,10,9,12.1,1.97,4.6,,,,,,,,,,false
equal-angle,L 65 x 65 x 11,equal-angle,10.3,65,65,11,9,13.2,2,4.6,,,,,,,,,,false
equal-angle,L 70 x 70 x 5,equal-angle,5.37,70,70,5,9,6.84,1.88,4.95,,,,,,,,,,false
equal-angle,L 70 x 70 x 6,equal-angle,6.38,70,70,6,9,8.13,1.93,4.95,,,,,,,,,,false
equal-angle,L 70 x 70 x 7,equal-angle,7.38,70,70,7,9,9.4,1.97,4.95,,,,,,,,,,false
equal-angle,L 70 x 70 x 8,equal-angle,8.37,70,70,8,10,10.7,2.01,4.95,,,,,,,,,,false
equal-angle,L 70 x 70 x 9,equal-angle,9.32,70,70,9,9,11.9,2.05,4.95,,,,,,,,,,false
equal-angle,L 70 x 70 x 10,equal-angle,10.3,70,70,10,9,13.1,2.09,4.95,,,,,,,,,,false
equal-angle,L 75 x 75 x 4,equal-angle,4.65,75,75,4,9,5.93,1.96,5.3,,,,,,,,,,false
equal-angle,L 75 x 75 x 5,equal-angle,5.76,75,75,5,9,7.34,2.01,5.3,,,,,,,,,,false
equal-angle,L 75 x 75 x 6,equal-angle,6.85,75,75,6,9,8.73,2.05,5.3,,,,,,,,,,false
equal-angle,L 75 x 75 x 7,equal-angle,7.93,75,75,7,9,10.1,2.1,5.3,,,,,,,,,,false
equal-angle,L 75 x 75 x 8,equal-angle,8.99,75,75,8,9,11.4,2.14,5.3,,,,,,,,,,false
equal-angle,L 75 x 75 x 9,equal-angle,10,75,75,9,9,12.8,2.18,5.3,,,,,,,,,,false
equal-angle,L 75 x 75 x 10,equal-angle,11.1,75,75,10,9,14.1,2.22,5.3,,,,,,,,,,false
equal-angle,L 80 x 80 x 5,equal-angle,6.17,80,80,5,10,7.86,2.12,5.66,,,,,,,,,,false
equal-angle,L 80 x 80 x 6,equal-angle,7.34,80,80,6,10,9.35,2.17,5.66,,,,,,,,,,false
equal-angle,L 80 x 80 x 7,equal-angle,8.49,80,80,7,10,10.8,2.21,5.66,,,,,,,,,,false
equal-angle,L 80 x 80 x 8,equal-angle,9.63,80,80,8,10,12.3,2.26,5.66,,,,,,,,,,false
equal-angle,L 80 x 80 x 9,equal-angle,10.8,80,80,9,10,13.7,2.3,5.66,,,,,,,,,,false
equal-angle,L 80 x 80 x 10,equal-angle,11.9,80,80,10,10,15.1,2.34,5.66,,,,,,,,,,false
equal-angle,L 90 x 90 x 5,equal-angle,6.97,90,90,5,11,8.88,2.35,6.36,,,,,,,,,,false
equal-angle,L 90 x 90 x 6,equal-angle,8.28,90,90,6,10,10.5,2.42,6.36,,,,,,,,,,false
equal-angle,L 90 x 90 x 7,equal-angle,9.61,90,90,7,11,12.2,2.45,6.36,,,,,,,,,,false
equal-angle,L 90 x 90 x 8,equal-angle,10.9,90,90,8,11,13.9,2.5,6.36,,,,,,,,,,false
equal-angle,L 90 x 90 x 9,equal-angle,12.2,90,90,9,11,15.5,2.54,6.36,,,,,,,,,,false
equal-angle,L 90 x 90 x 10,equal-angle,13.4,90,90,10,11,17.1,2.58,6.36,,,,,,,,,,false
equal-angle,L 90 x 90 x 11,equal-angle,14.7,90,90,11,11,18.7,2.62,6.36,,,,,,,,,,false
equal-angle,L 90 x 90 x 16,equal-angle,20.7,90,90,16,11,26.4,2.81,6.36,,,,,,,,,,false
equal-angle,L 100 x 100 x 6,equal-angle,9.26,100,100,6,12,11.8,2.64,7.07,,,,,,,,,,false
equal-angle,L 100 x 100 x 7,equal-angle,10.7,100,100,7,12,13.7,2.69,7.07,,,,,,,,,,false
equal-angle,L 100 x 100 x 8,equal-angle,12.2,100,100,8,12,15.5,2.74,7.07,,,,,,,,,,false
equal-angle,L 100 x 100 x 9,equal-angle,13.6,100,100,9,12,17.3,2.78,7.07,,,,,,,,,,false
