# Source values are transcribed from the European/METU section table. Keep verified=false until manually checked.
family,designation,shapeType,G_kg_per_m,d_mm,bf_mm,tw_mm,tf_mm,r_mm,A_cm2,hi_mm,h_mm,Ix_cm4,Sx_cm3,Zx_cm3,rx_cm,Iy_cm4,Sy_cm3,Zy_cm3,ry_cm,J_cm4,Cw_cm6,verified
HD,HD 260 x 54.1,i-shape,54.1,244,260,6.5,9.5,24,68.97,225,177,7981,654.1,714.5,10.76,2788,214.5,327.7,6.36,30.31,382.6,false
HD,HD 260 x 68.2,i-shape,68.2,250,260,7.5,12.5,24,86.82,225,177,10450,836.4,919.8,10.97,3668,282.1,430.2,6.50,52.37,516.4,false
HD,HD 260 x 93.0,i-shape,93.0,260,260,10.0,17.5,24,118.4,225,177,14920,1148,1283,11.22,5135,395.0,602.2,6.58,123.8,753.7,false
HD,HD 260 x 114,i-shape,114,268,262,12.5,21.5,24,145.7,225,177,18910,1411,1600,11.39,6456,492.8,752.5,6.66,222.4,979,false
HD,HD 260 x 142,i-shape,142,278,265,15.5,26.5,24,180.3,225,177,24330,1750,2015,11.62,8236,621.6,950.5,6.76,406.8,1300,false
HD,HD 260 x 172,i-shape,172,290,268,18.0,32.5,24,219.6,225,177,31310,2159,2524,11.94,10450,779.7,1192,6.90,719,1728,false
HD,HD 320 x 74.2,i-shape,74.2,301,300,8.0,11.0,27,94.58,279,225,16450,1093,1196,13.19,4959,330.6,505.7,7.24,55.87,1041,false
HD,HD 320 x 97.6,i-shape,97.6,310,300,9.0,15.5,27,124.4,279,225,22930,1479,1628,13.58,6985,465.7,709.7,7.49,108,1512,false
HD,HD 320 x 127,i-shape,127,320,300,11.5,20.5,27,161.3,279,225,30820,1926,2149,13.82,9239,615.9,939.1,7.57,225.1,2069,false
HD,HD 320 x 158,i-shape,158,330,303,14.5,25.5,27,201.2,279,225,39640,2403,2718,14.04,11840,781.7,1194,7.67,420.5,2741,false
HD,HD 320 x 198,i-shape,198,343,306,18.0,32.0,27,252.3,279,225,51900,3026,3479,14.34,15310,1001,1530,7.79,805.3,3695,false
HD,HD 320 x 245,i-shape,245,359,309,21.0,40.0,27,312.0,279,225,68130,3796,4435,14.78,19710,1276,1951,7.95,1501,5004,false
HD,HD 320 x 300,i-shape,300,375,313,27.0,48.0,27,382.1,279,225,86900,4635,5522,15.08,24600,1572,2414,8.02,2650,6558,false
HD,HD 360 x 134,i-shape,134,356,369,11.2,18.0,15,170.6,320,290,41510,2332,2562,15.60,15080,817.3,1237.0,9.40,168.8,4305,false
HD,HD 360 x 147,i-shape,147,360,370,12.3,19.8,15,187.9,320,290,46290,2572,2838,15.70,16720,903.9,1369,9.43,223.7,4836,false
HD,HD 360 x 162,i-shape,162,364,371,13.3,21.8,15,206.3,320,290,51540,2832,3139,15.81,18560,1001,1516,9.49,295.5,5432,false
HD,HD 360 x 179,i-shape,179,368,373,15.0,23.9,15,228.3,320,290,57440,3122,3482,15.86,20680,1109,1683,9.52,393.8,6119,false
HD,HD 360 x 196,i-shape,196,372,374,16.4,26.2,15,250.3,320,290,63630,3421,3837,15.94,22860,1222,1856,9.56,517.1,6829,false
HD,HD 400 x 187,i-shape,187,368,391,15.0,24.0,15,237.6,320,290,60180,3271,3642,15.91,23920,1224,1855,10.03,414.6,7074,false
HD,HD 400 x 216,i-shape,216,375,394,17.3,27.7,15,275.5,320,290,71140,3794,4262,16.07,28250,1434,2176,10.13,637.3,8515,false
HD,HD 400 x 237,i-shape,237,380,395,18.9,30.2,15,300.9,320,290,78780,4146,4686,16.18,31040,1572,2387,10.16,825.5,9489,false
HD,HD 400 x 262,i-shape,262,387,398,21.1,33.3,15,334.6,320,290,89410,4620,5260,16.35,35020,1760,2676,10.23,1116,10940,false
HD,HD 400 x 287,i-shape,287,393,399,22.6,36.6,15,366.3,320,290,99710,5074,5813,16.50,38780,1944,2957,10.29,1464,12300,false
HD,HD 400 x 314,i-shape,314,399,401,24.9,39.6,15,399.2,320,290,110200,5525,6374,16.62,42600,2125,3236,10.33,1870,13740,false
HD,HD 400 x 347,i-shape,347,407,404,27.2,43.7,15,442.0,320,290,124900,6140,7139,16.81,48090,2380,3629,10.43,2510,15850,false
HD,HD 400 x 382,i-shape,382,416,406,29.8,48.0,15,487.1,320,290,141300,6794,7965,17.03,53620,2641,4031,10.49,3326,18130,false
HD,HD 400 x 421,i-shape,421,425,409,32.8,52.6,15,537.1,320,290,159600,7510,8880,17.24,60080,2938,4489,10.58,4398,20800,false
HD,HD 400 x 463,i-shape,463,435,412,35.8,57.4,15,589.5,320,290,180200,8283,9878,17.48,67040,3254,4978,10.66,5735,23850,false
HD,HD 400 x 509,i-shape,509,446,416,39.1,62.7,15,649.0,321,291,204500,9172,11030,17.75,75400,3625,5552,10.78,7513,27630,false
HD,HD 400 x 551,i-shape,551,455,418,42.0,67.6,15,701.4,320,290,226100,9939,12050,17.95,82490,3947,6051,10.85,9410,30870,false
HD,HD 400 x 592,i-shape,592,465,421,45.0,72.3,15,754.9,320,290,250200,10760,13140,18.20,90170,4284,6574,10.93,11560,34670,false
HD,HD 400 x 634,i-shape,634,474,424,47.6,77.1,15,808.0,320,290,274200,11570,14220,18.42,98250,4634,7117,11.03,14020,38570,false
HD,HD 400 x 677,i-shape,677,483,428,51.2,81.5,15,863.4,320,290,299500,12400,15350,18.62,106900,4994,7680,11.13,16790,42920,false
HD,HD 400 x 744,i-shape,744,498,432,55.6,88.9,15,948.1,320,290,342100,13740,17170,19.00,119900,5552,8549,11.25,21840,49980,false
HD,HD 400 x 818,i-shape,818,514,437,60.5,97.0,15,1043,320,290,392200,15260,19260,19.39,135500,6203,9561,11.40,28510,58650,false
HD,HD 400 x 900,i-shape,900,531,442,65.9,106,15,1149,319,289,450200,16960,21620,19.79,153300,6938,10710,11.55,37350,68890,false
HD,HD 400 x 990,i-shape,990,550,448,71.9,115,15,1262,320,290,518900,18870,24280,20.27,173400,7739,11960,11.72,48210,81530,false
HD,HD 400 x 1086,i-shape,1086,569,454,78.0,125,15,1386,319,289,595700,20940,27210,20.73,196200,8645,13380,11.90,62290,96080,false
