# Source values are transcribed from the European/METU section table. Keep verified=false until manually checked.
family,designation,shapeType,G_kg_per_m,d_mm,bf_mm,tw_mm,tf_mm,r_mm,A_cm2,hi_mm,h_mm,Ix_cm4,Sx_cm3,Zx_cm3,rx_cm,Iy_cm4,Sy_cm3,Zy_cm3,ry_cm,J_cm4,Cw_cm6,verified
HEA,HE 100 A,i-shape,16.7,96,100,5.0,8.0,12,21.24,80,56,349.2,72.76,83.01,4.06,133.8,26.76,41.14,2.51,5.24,2.58,false
HEA,HE 120 A,i-shape,19.9,114,120,5.0,8.0,12,25.34,98,74,606.2,106.3,119.5,4.89,230.9,38.48,58.85,3.02,5.99,6.47,false
HEA,HE 140 A,i-shape,24.7,133,140,5.5,8.5,12,31.42,116,92,1033.0,155.4,173.5,5.73,389.3,55.62,84.85,3.52,8.13,15.06,false
HEA,HE 160 A,i-shape,30.4,152,160,6.0,9.0,15,38.77,134,104,1673.0,220.1,245.1,6.57,615.6,76.95,117.6,3.98,12.19,31.41,false
HEA,HE 180 A,i-shape,35.5,171,180,6.0,9.5,15,45.25,152,122,2510.0,293.6,324.9,7.45,924.6,102.7,156.5,4.52,14.80,60.21,false
HEA,HE 200 A,i-shape,42.3,190,200,6.5,10.0,18,53.83,170,134,3692.0,388.6,429.5,8.28,1336.0,133.6,203.8,4.98,20.98,108.0,false
HEA,HE 220 A,i-shape,50.5,210,220,7.0,11.0,18,64.34,188,152,5410.0,515.2,568.5,9.17,1955,177.7,270.6,5.51,28.46,193.3,false
HEA,HE 240 A,i-shape,60.3,230,240,7.5,12.0,21,76.84,206,164,7763.0,675.1,744.6,10.05,2769,230.7,351.7,6.00,41.55,328.5,false
HEA,HE 260 A,i-shape,68.2,250,260,7.5,12.5,24,86.82,225,177,10450.0,836.4,919.8,10.97,3668,282.1,430.2,6.50,52.37,516.4,false
HEA,HE 280 A,i-shape,76.4,270,280,8.0,13.0,24,97.26,244,196,13670.0,1013.0,1112,11.86,4763,340.2,518.1,7.00,62.10,785.4,false
HEA,HE 300 A,i-shape,88.3,290,300,8.5,14.0,27,112.50,262,208,18260.0,1260,1383,12.74,6310,420.6,641.2,7.49,85.17,1200,false
HEA,HE 320 A,i-shape,97.6,310,300,9.0,15.5,27,124.40,279,225,22930.0,1479.0,1628,13.58,6985,465.7,709.7,7.49,108.00,1512,false
HEA,HE 340 A,i-shape,105.0,330,300,9.5,16.5,27,133.50,297,243,27690.0,1678,1850,14.40,7436,495.7,755.9,7.46,127.20,1824,false
HEA,HE 360 A,i-shape,112.0,350,300,10.0,17.5,27,142.80,315,261,33090.0,1891,2088,15.22,7887,525.8,802.3,7.43,148.80,2177,false
HEA,HE 400 A,i-shape,125.0,390,300,11.0,19.0,27,159.00,352,298,45070.0,2311,2562,16.84,8564,570.9,872.9,7.34,189.00,2942,false
HEA,HE 450 A,i-shape,140.0,440,300,11.5,21.0,27,178.00,398,344,63720.0,2896,3216,18.92,9465,631.0,965.5,7.29,243.80,4148,false
HEA,HE 500 A,i-shape,155.0,490,300,12.0,23.0,27,197.50,444,390,86970.0,3550,3949,20.98,10370,691.1,1059.0,7.24,309.30,5643,false
HEA,HE 550 A,i-shape,166.0,540,300,12.5,24.0,27,211.80,492,438,111900.0,4146,4622,22.99,10820,721.3,1107.0,7.15,351.50,7189,false
HEA,HE 600 A,i-shape,178.0,590,300,13.0,25.0,27,226.50,540,486,141200.0,4787,5350,24.97,11270,751.4,1156.0,7.05,397.80,8978,false
HEA,HE 650 A,i-shape,190.0,640,300,13.5,26.0,27,241.60,588,534,175200.0,5474,6136,26.93,11720,781.6,1205.0,6.97,448.30,11030,false
HEA,HE 700 A,i-shape,204.0,690,300,14.5,27.0,27,260.50,636,582,215300.0,6241,7032,28.75,12180,811.9,1257.0,6.84,513.90,13350,false
HEA,HE 800 A,i-shape,224.0,790,300,15.0,28.0,30,285.80,734,674,303400.0,7682,8699,32.58,12640,842.6,1312.0,6.65,596.90,18290,false
HEA,HE 900 A,i-shape,252.0,890,300,16.0,30.0,30,320.50,830,770,422100.0,9485,10810,36.29,13550,903.2,1414.0,6.50,736.80,24960,false
HEA,HE 1000 A,i-shape,272.0,990,300,16.5,31.0,30,346.80,928,868,553800.0,11190,12820,39.96,14000,933.6,1470.0,6.35,822.40,32070,false
