# Source values are transcribed from the European/METU section table. Keep verified=false until manually checked.
family,designation,shapeType,G_kg_per_m,d_mm,bf_mm,tw_mm,tf_mm,r_mm,A_cm2,hi_mm,h_mm,Ix_cm4,Sx_cm3,Zx_cm3,rx_cm,Iy_cm4,Sy_cm3,Zy_cm3,ry_cm,J_cm4,Cw_cm6,verified
HEB,HE 100 B,i-shape,20.4,100,100,6.0,10.0,12,26.04,80,56,449.5,89.91,104.20,4.16,167.3,33.45,51.42,2.53,9.25,3.38,false
HEB,HE 120 B,i-shape,26.7,120,120,6.5,11.0,12,34.01,98,74,864.4,144.1,165.2,5.04,317.5,52.92,80.97,3.06,13.84,9.41,false
HEB,HE 140 B,i-shape,33.7,140,140,7.0,12.0,12,42.96,116,92,1509.0,215.6,245.4,5.93,549.7,78.52,119.80,3.58,20.06,22.48,false
HEB,HE 160 B,i-shape,42.6,160,160,8.0,13.0,15,54.25,134,104,2492.0,311.5,354.0,6.78,889.2,111.2,170.0,4.05,31.24,47.94,false
HEB,HE 180 B,i-shape,51.2,180,180,8.5,14.0,15,65.25,152,122,3831.0,425.7,481.4,7.66,1363.0,151.4,231.0,4.57,42.16,93.75,false
HEB,HE 200 B,i-shape,61.3,200,200,9.0,15.0,18,78.08,170,134,5696.0,569.6,642.5,8.54,2003,200.3,305.8,5.07,59.28,171.1,false
HEB,HE 220 B,i-shape,71.5,220,220,9.5,16.0,18,91.04,188,152,8091.0,735.5,827.0,9.43,2843,258.5,393.9,5.59,76.57,295.4,false
HEB,HE 240 B,i-shape,83.2,240,240,10.0,17.0,21,106.00,206,164,11260.0,938.3,1053.0,10.31,3923,326.9,498.4,6.08,102.70,486.9,false
HEB,HE 260 B,i-shape,93.0,260,260,10.0,17.5,24,118.40,225,177,14920.0,1148.0,1283.0,11.22,5135,395.0,602.2,6.58,123.80,753.7,false
HEB,HE 280 B,i-shape,103.0,280,280,10.5,18.0,24,131.40,244,196,19270.0,1376.0,1534,12.11,6595,471.0,717.6,7.09,143.70,1130.0,false
HEB,HE 300 B,i-shape,117.0,300,300,11.0,19.0,27,149.10,262,208,25170.0,1678.0,1869.0,12.99,8563,570.9,870.1,7.58,185.00,1688,false
HEB,HE 320 B,i-shape,127.0,320,300,11.5,20.5,27,161.30,279,225,30820.0,1926,2149,13.82,9239,615.9,939.1,7.57,225.10,2069,false
HEB,HE 340 B,i-shape,134.0,340,300,12.0,21.5,27,170.90,297,243,36660.0,2156,2408,14.65,9690,646.0,985.7,7.53,257.20,2454,false
HEB,HE 360 B,i-shape,142.0,360,300,12.5,22.5,27,180.60,315,261,43190.0,2400,2683,15.46,10140,676.1,1032.0,7.49,292.50,2883,false
HEB,HE 400 B,i-shape,155.0,400,300,13.5,24.0,27,197.80,352,298,57680.0,2884,3232,17.08,10820,721.3,1104.0,7.40,355.70,3817,false
HEB,HE 450 B,i-shape,171.0,450,300,14.0,26.0,27,218.00,398,344,79890.0,3551,3982,19.14,11720,781.4,1198.0,7.33,440.50,5258,false
HEB,HE 500 B,i-shape,187.0,500,300,14.5,28.0,27,238.60,444,390,107200.0,4287,4815,21.19,12620,841.6,1292.0,7.27,538.40,7018,false
HEB,HE 550 B,i-shape,199.0,550,300,15.0,29.0,27,254.10,492,438,136700.0,4971,5591,23.20,13080,871.8,1341.0,7.17,600.30,8856,false
HEB,HE 600 B,i-shape,212.0,600,300,15.5,30.0,27,270.00,540,486,171000.0,5701,6425,25.17,13530,902.0,1391.0,7.08,667.20,10970,false
HEB,HE 650 B,i-shape,225.0,650,300,16.0,31.0,27,286.30,588,534,210600.0,6480,7320,27.12,13980,932.3,1441.0,6.99,739.20,13360,false
HEB,HE 700 B,i-shape,241.0,700,300,17.0,32.0,27,306.40,636,582,256900.0,7340,8327,28.96,14440,962.7,1495.0,6.87,830.90,16060,false
HEB,HE 800 B,i-shape,262.0,800,300,17.5,33.0,30,334.20,734,674,359100.0,8977,10230,32.78,14900,993.6,1553.0,6.68,946.00,21840,false
HEB,HE 900 B,i-shape,291.0,900,300,18.5,35.0,30,371.30,830,770,494100.0,10980,12580,36.48,15820,1054.0,1658.0,6.53,1137.00,29460,false
HEB,HE 1000 B,i-shape,314.0,1000,300,19.0,36.0,30,400.00,928,868,644700.0,12890,14860,40.15,16280,1085.0,1716.0,6.38,1254.00,37640,false
