# Source values are transcribed from the European/METU section table. verified=true indicates manual verification has been completed.
family,designation,shapeType,G_kg_per_m,d_mm,bf_mm,tw_mm,tf_mm,r_mm,A_cm2,hi_mm,h_mm,Ix_cm4,Sx_cm3,Zx_cm3,rx_cm,Iy_cm4,Sy_cm3,Zy_cm3,ry_cm,J_cm4,Cw_cm6,verified
HEM,HE 100 M,i-shape,41.8,120,106,12.0,20.0,12,53.24,80,56,1143.0,190.4,235.80,4.63,399.2,75.31,116.30,2.74,68.21,9.93,true
HEM,HE 120 M,i-shape,52.1,140,126,12.5,21.0,12,66.41,98,74,2018.0,288.2,350.6,5.51,702.8,111.60,171.60,3.25,91.66,24.79,true
HEM,HE 140 M,i-shape,63.2,160,146,13.0,22.0,12,80.56,116,92,3291.0,411.4,493.8,6.39,1144.0,156.80,240.50,3.77,120.00,54.33,true
HEM,HE 160 M,i-shape,76.2,180,166,14.0,23.0,15,97.05,134,104,5098.0,566.5,674.6,7.25,1759.0,211.9,325.5,4.26,162.40,108.10,true
HEM,HE 180 M,i-shape,88.9,200,186,14.5,24.0,15,113.30,152,122,7483.0,748.3,883.4,8.13,2580,277.4,425.2,4.77,203.30,199.30,true
HEM,HE 200 M,i-shape,103.0,220,206,15.0,25.0,18,131.30,170,134,10640.0,967.4,1135.0,9.00,3651.0,354.5,543.2,5.27,259.40,346.3,true
HEM,HE 220 M,i-shape,117.0,240,226,15.5,26.0,18,149.40,188,152,14600.0,1217.0,1419.0,9.89,5012.0,443.5,678.6,5.79,315.30,572.7,true
HEM,HE 240 M,i-shape,157.0,270,248,18.0,32.0,21,199.60,206,164,24290.0,1799.0,2117.0,11.03,8153,657.5,1006.0,6.39,627.90,1152.0,true
HEM,HE 260 M,i-shape,172,290,268,18.0,32.5,24,219.60,225,177,31310.0,2159.0,2524.0,11.94,10450,779.7,1192.0,6.90,719.00,1728.0,true
HEM,HE 280 M,i-shape,189.0,310,288,18.5,33.0,24,240.20,244,196,39550.0,2551.0,2966.0,12.83,13160,914.1,1397.0,7.40,807.30,2520.0,true
HEM,HE 300 M,i-shape,238.0,340,310,21.0,39.0,27,303.10,262,208,59200.0,3482,4078,13.98,19400,1252.0,1913.0,8.00,1408.00,4386,true
HEM,HE 320 M,i-shape,245,359,309,21.0,40.0,27,312.00,279,225,68130.0,3796,4435,14.78,19710,1276.0,1951.0,7.95,1501.00,5004,true
HEM,HE 340 M,i-shape,248,377,309,21.0,40.0,27,315.80,297,243,76370.0,4052,4718,15.55,19710,1276.0,1953.0,7.90,1506.00,5584,true
HEM,HE 360 M,i-shape,250.0,395,308,21.0,40.0,27,318.80,315,261,84870.0,4297,4989,16.32,19520,1268.0,1942.0,7.83,1507.00,6137,true
HEM,HE 400 M,i-shape,256,432,307,21.0,40.0,27,325.80,352,298,104100.0,4820,5571,17.88,19340,1260.0,1934.0,7.70,1515.00,7410,true
HEM,HE 450 M,i-shape,263,478,307,21.0,40.0,27,335.40,398,344,131500.0,5501,6331,19.80,19340,1260.0,1939.0,7.59,1529.00,9251,true
HEM,HE 500 M,i-shape,270,524,306,21.0,40.0,27,344.30,444,390,161900.0,6180,7094,21.69,19150,1252.0,1932.0,7.46,1539.00,11190,true
HEM,HE 550 M,i-shape,278,572,306,21.0,40.0,27,354.40,492,438,198000.0,6923,7933,23.64,19160,1252.0,1937.0,7.35,1554.00,13520,true
HEM,HE 600 M,i-shape,285,620,305,21.0,40.0,27,363.70,540,486,237400.0,7660,8772,25.55,18980,1244.0,1930.0,7.22,1564.00,15910,true
HEM,HE 650 M,i-shape,293,668,305,21.0,40.0,27,373.70,588,534,281700.0,8433,9657,27.45,18980,1245.0,1936.0,7.13,1579.00,18650,true
HEM,HE 700 M,i-shape,301,716,304,21.0,40.0,27,383.00,636,582,329300.0,9198,10540,29.32,18800,1237.0,1929.0,7.01,1589.00,21400,true
HEM,HE 800 M,i-shape,317,814,303,21.0,40.0,30,404.30,734,674,442600.0,10870,12490,33.09,18630,1230.0,1930.0,6.79,1646.00,27780,true
HEM,HE 900 M,i-shape,333,910,302,21.0,40.0,30,423.60,830,770,570400.0,12540,14440,36.70,18450,1222.0,1929.0,6.60,1671.00,34750,true
HEM,HE 1000 M,i-shape,349,1008,302,21.0,40.0,30,444.20,928,868,722300.0,14330,16570,40.32,18460,1222.0,1940.0,6.45,1701.00,43020,true
