# Source values are transcribed from the European/METU section table. verified=true indicates manual verification has been completed.
family,designation,shapeType,G_kg_per_m,d_mm,bf_mm,tw_mm,tf_mm,r_mm,A_cm2,hi_mm,h_mm,Ix_cm4,Sx_cm3,Zx_cm3,rx_cm,Iy_cm4,Sy_cm3,Zy_cm3,ry_cm,J_cm4,Cw_cm6,verified
IPE,IPE 80,i-shape,6.0,80,46,3.8,5.2,5,7.64,69.6,59.6,80.1,20.03,23.22,3.24,8.49,3.69,5.82,1.05,0.70,0.12,true
IPE,IPE 100,i-shape,8.1,100,55,4.1,5.7,7,10.32,88.6,74.6,171.0,34.20,39.41,4.07,15.92,5.79,9.15,1.24,1.20,0.35,true
IPE,IPE 120,i-shape,10.4,120,64,4.4,6.3,7,13.21,107.4,93.4,317.8,52.96,60.73,4.90,27.67,8.65,13.58,1.45,1.74,0.89,true
IPE,IPE 140,i-shape,12.9,140,73,4.7,6.9,7,16.43,126.2,112.2,541.2,77.32,88.34,5.74,44.92,12.31,19.25,1.65,2.45,1.98,true
IPE,IPE 160,i-shape,15.8,160,82,5.0,7.4,9,20.09,145.2,127.2,869.3,108.7,123.9,6.58,68.31,16.66,26.10,1.84,3.60,3.96,true
IPE,IPE 180,i-shape,18.8,180,91,5.3,8.0,9,23.95,164.0,146.0,1317,146.3,166.4,7.42,100.9,22.16,34.60,2.05,4.79,7.43,true
IPE,IPE 200,i-shape,22.4,200,100,5.6,8.5,12,28.48,183.0,159.0,1943,194.3,220.6,8.26,142.4,28.47,44.61,2.24,6.98,12.99,true
IPE,IPE 220,i-shape,26.2,220,110,5.9,9.2,12,33.37,201.6,177.6,2772,252.0,285.4,9.11,204.9,37.25,58.11,2.48,9.07,22.67,true
IPE,IPE 240,i-shape,30.7,240,120,6.2,9.8,15,39.12,220.4,190.4,3892,324.3,366.6,9.97,283.6,47.27,73.92,2.69,12.88,37.39,true
IPE,IPE 270,i-shape,36.1,270,135,6.6,10.2,15,45.95,249.6,219.6,5790,428.9,484.0,11.23,419.9,62.20,96.95,3.02,15.94,70.58,true
IPE,IPE 300,i-shape,42.2,300,150,7.1,10.7,15,53.81,278.6,248.6,8356,557.1,628.4,12.46,603.8,80.50,125.2,3.35,20.12,125.9,true
IPE,IPE 330,i-shape,49.1,330,160,7.5,11.5,18,62.61,307.0,271.0,11770,713.1,804.3,13.71,788.1,98.52,153.7,3.55,28.15,199.1,true
IPE,IPE 360,i-shape,57.1,360,170,8.0,12.7,18,72.73,334.6,298.6,16270,903.6,1019,14.95,1043,122.8,191.1,3.79,37.32,313.6,true
IPE,IPE 400,i-shape,66.3,400,180,8.6,13.5,21,84.46,373.0,331.0,23130,1156,1307,16.55,1318,146.4,229.0,3.95,51.08,490.0,true
IPE,IPE 450,i-shape,77.6,450,190,9.4,14.6,21,98.82,420.8,378.8,33740,1500,1702,18.48,1676,176.4,276.4,4.12,66.87,791.0,true
IPE,IPE 500,i-shape,90.7,500,200,10.2,16.0,21,115.5,468.0,426.0,48200,1928,2194,20.43,2142,214.2,335.9,4.31,89.29,1249,true
IPE,IPE 550,i-shape,106,550,210,11.1,17.2,24,134.4,515.6,467.6,67120,2441,2787,22.35,2668,254.1,400.5,4.45,123.2,1884,true
IPE,IPE 600,i-shape,122,600,220,12.0,19.0,24,156.0,562.0,514.0,92080,3069,3512,24.30,3387,307.9,485.6,4.66,165.4,2846,true
