# Source values are transcribed from the European/METU section table. Keep verified=false until manually checked.
family,designation,shapeType,G_kg_per_m,d_mm,bf_mm,tw_mm,tf_mm,r_mm,A_cm2,hi_mm,h_mm,Ix_cm4,Sx_cm3,Zx_cm3,rx_cm,Iy_cm4,Sy_cm3,Zy_cm3,ry_cm,J_cm4,Cw_cm6,verified
IPN,IPN 80,i-shape,6.0,80,42,3.9,5.9,3.9,7.58,2.3,59,77.8,19.5,22.8,3.2,6.29,3,5,0.91,0.87,0.09,false
IPN,IPN 100,i-shape,8.3,100,50,4.5,6.8,4.5,10.6,2.7,75.7,171,34.2,39.8,4.01,12.2,4.88,8.1,1.07,1.6,0.27,false
IPN,IPN 120,i-shape,11.1,120,58,5.1,7.7,5.1,14.2,3.1,92.4,328,54.7,63.6,4.81,21.5,7.41,12.4,1.23,2.71,0.69,false
IPN,IPN 140,i-shape,14.3,140,66,5.7,8.6,5.7,18.3,3.4,109.1,573,81.9,95.4,5.61,35.2,10.7,17.9,1.40,4.32,1.54,false
IPN,IPN 160,i-shape,17.9,160,74,6.3,9.5,6.3,22.8,3.8,125.8,935,117,136,6.4,54.7,14.8,24.9,1.55,6.57,3.14,false
IPN,IPN 180,i-shape,21.9,180,82,6.9,10.4,6.9,27.9,4.1,142.4,1450,161,187,7.2,81.3,19.8,33.2,1.71,9.58,5.92,false
IPN,IPN 200,i-shape,26.2,200,90,7.5,11.3,7.5,33.4,4.5,159.1,2140,214,250,8.0,117,26.0,43.5,1.87,13.5,10.5,false
IPN,IPN 220,i-shape,31.1,220,98,8.1,12.2,8.1,39.5,4.9,175.8,3060,278,324,8.8,162,33.1,55.7,2.02,18.6,17.8,false
IPN,IPN 240,i-shape,36.2,240,106,8.7,13.1,8.7,46.1,5.2,192.5,4250,354,412,9.59,221,41.7,70.0,2.20,25.0,28.7,false
IPN,IPN 260,i-shape,41.9,260,113,9.4,14.1,9.4,53.3,5.6,208.9,5740,442,514,10.4,288,51.0,85.9,2.32,33.5,44.1,false
IPN,IPN 280,i-shape,47.9,280,119,10.1,15.2,10,61.0,6.1,225.1,7590,542,632,11.1,364,61.2,103,2.45,44.2,64.6,false
IPN,IPN 300,i-shape,54.2,300,125,10.8,16.2,11,69.0,6.5,241.6,9800,653,762,11.9,451,72.2,121,2.56,56.8,91.8,false
IPN,IPN 320,i-shape,61.0,320,131,11.5,17.3,12,77.7,6.9,257.9,12510,782,914,12.7,555,84.7,143,2.67,72.5,129,false
IPN,IPN 340,i-shape,68.0,340,137,12.2,18.3,12,86.7,7.3,274.3,15700,923,1080,13.5,674,98.4,166,2.80,90.4,176,false
IPN,IPN 360,i-shape,76.1,360,143,13,19.5,13,97.0,7.8,290.2,19610,1090,1276,14.2,818,114.0,194,2.90,115,240,false
IPN,IPN 380,i-shape,84.0,380,149,13.7,20.5,14,107,8.2,306.7,24010,1260,1482,15.0,975,131.0,221,3.02,141,319,false
IPN,IPN 400,i-shape,92.4,400,155,14.4,21.6,14,118,8.6,322.9,29210,1460,1714,15.7,1160,149,253,3.13,170,420,false
IPN,IPN 450,i-shape,115.0,450,170,16.2,24.3,16,147,9.7,363.6,45850,2040,2400,17.7,1730,203,345,3.43,267,791,false
IPN,IPN 500,i-shape,141.0,500,185,18,27,18,179,10.8,404.3,68740,2750,3240,19.6,2480,268,456,3.72,402,1400,false
IPN,IPN 550,i-shape,166.0,550,200,19,30,19,212,11.9,445.6,99180,3610,4240,21.6,3490,349,592,4.02,544,2390,false
IPN,IPN 600,i-shape,199.0,600,215,21.6,32.4,22,254.0,13.0,485.8,139000,4630,5452,23.4,4670,434,752,4.30,787,3814,false
