# Source values are transcribed from the European/METU section table. verified=true indicates manual verification has been completed.
family,designation,shapeType,G_kg_per_m,h_mm,b_mm,t_mm,r1_mm,A_cm2,ys_cm,xs_cm,v1_cm,v2_cm,u1_cm,u2_cm,u3_cm,Ix_cm4,Sx_cm3,rx_cm,Iy_cm4,Sy_cm3,ry_cm,Iu_cm4,ru_cm,Iv_cm4,rv_cm,Ixy_cm4,alpha_deg,verified
unequal-angle,L 100 x 65 x 7,unequal-angle,8.77,100,65,7,10,11.2,3.23,1.51,6.83,4.9,2.64,3.44,1.66,112.5,16.61,3.17,37.58,7.53,1.83,128.2,3.39,21.89,1.4,-37.7,22.59,true
unequal-angle,L 100 x 65 x 8,unequal-angle,9.94,100,65,8,10,12.7,3.27,1.55,6.81,4.92,2.69,3.43,1.69,126.8,18.85,3.16,42.23,8.54,1.83,144.4,3.38,24.66,1.4,-42.4,22.53,true
unequal-angle,L 100 x 65 x 9,unequal-angle,11.1,100,65,9,10,14.1,3.32,1.59,6.78,4.94,2.74,3.42,1.72,140.6,21.05,3.15,46.7,9.52,1.82,160,3.36,27.37,1.39,-46.8,22.44,true
unequal-angle,L 100 x 65 x 10,unequal-angle,12.3,100,65,10,10,15.6,3.36,1.63,6.76,4.96,2.79,3.41,1.75,154,23.2,3.14,50.98,10.48,1.81,175,3.35,30.03,1.39,-51,22.35,true
unequal-angle,L 100 x 65 x 12,unequal-angle,14.5,100,65,12,10,18.5,3.44,1.71,6.72,4.99,2.88,3.4,1.81,179.6,27.38,3.12,59.07,12.33,1.79,203.4,3.32,35.23,1.38,-58.7,22.11,true
unequal-angle,L 110 x 70 x 10,unequal-angle,13.4,110,70,10,10,17.1,3.69,1.72,7.43,5.38,2.96,3.73,1.84,206.6,28.27,3.48,65.07,12.31,1.95,233.2,3.69,38.54,1.5,-66.8,21.67,true
unequal-angle,L 110 x 70 x 12,unequal-angle,15.9,110,70,12,10,20.3,3.77,1.79,7.38,5.42,3.05,3.72,1.9,241.5,33.4,3.45,75.54,14.51,1.93,271.8,3.66,45.22,1.49,-77.1,21.46,true
unequal-angle,L 120 x 80 x 8,unequal-angle,12.2,120,80,8,11,15.5,3.83,1.87,8.23,5.97,3.25,4.19,2.09,225.7,27.63,3.82,80.76,13.17,2.28,260,4.1,46.39,1.73,-78.5,23.65,true
unequal-angle,L 120 x 80 x 10,unequal-angle,15,120,80,10,11,19.1,3.92,1.95,8.19,6.01,3.35,4.17,2.15,275.5,34.1,3.8,98.11,16.21,2.26,317,4.07,56.6,1.72,-95.3,23.53,true
unequal-angle,L 120 x 80 x 12,unequal-angle,17.8,120,80,12,11,22.7,4,2.03,8.14,6.04,3.45,4.16,2.2,322.8,40.37,3.77,114.3,19.14,2.24,370.7,4.04,66.45,1.71,-110.8,23.37,true
unequal-angle,L 130 x 90 x 10,unequal-angle,16.6,130,90,10,11,21.2,4.16,2.19,8.93,6.67,3.75,4.62,2.49,359.7,40.7,4.12,141.8,20.82,2.59,421.5,4.46,79.92,1.94,-131.6,25.19,true
unequal-angle,L 130 x 90 x 12,unequal-angle,19.7,130,90,12,11,25.1,4.24,2.26,8.9,6.69,3.84,4.59,2.51,420.4,47.97,4.09,164.5,24.42,2.56,491.6,4.42,93.31,1.93,-152.6,25.02,true
unequal-angle,L 130 x 90 x 14,unequal-angle,22.8,130,90,14,11,29,4.33,2.34,8.85,6.73,3.95,4.61,2.6,481.4,55.5,4.07,187.9,28.24,2.55,561.9,4.4,107.4,1.93,-173.5,24.89,true
unequal-angle,L 140 x 90 x 8,unequal-angle,14,140,90,8,11,17.9,4.49,2.03,9.56,6.81,3.58,4.83,2.27,360,37.86,4.49,118.2,16.96,2.57,409.3,4.78,68.9,1.96,-119.8,22.38,true
unequal-angle,L 140 x 90 x 10,unequal-angle,17.4,140,90,10,11,22.1,4.58,2.11,9.52,6.85,3.69,4.81,2.33,440.9,46.81,4.46,144.1,20.91,2.55,500.8,4.76,84.19,1.95,-146.2,22.28,true
unequal-angle,L 140 x 90 x 12,unequal-angle,20.6,140,90,12,11,26.3,4.66,2.19,9.47,6.89,3.79,4.79,2.39,518.1,55.5,4.44,168.4,24.72,2.53,587.6,4.73,98.93,1.94,-170.6,22.15,true
unequal-angle,L 140 x 90 x 14,unequal-angle,23.8,140,90,14,11,30.4,4.74,2.27,9.43,6.92,3.88,4.78,2.45,591.9,63.96,4.41,191.3,28.41,2.51,670,4.7,113.3,1.93,-193.3,21.99,true
