# Source values are transcribed from the European/METU section table. verified=true indicates manual verification has been completed.
family,designation,shapeType,G_kg_per_m,d_mm,bf_mm,tw_mm,tf_mm,A_cm2,Ix_cm4,Sx_cm3,rx_cm,Iy_cm4,Sy_cm3,ry_cm,xs_cm,xm_cm,J_cm4,Cw_cm6,verified
UPN,UPN 50,channel,5.6,50,38,5,7,7.12,26.4,10.6,1.92,9.12,3.75,1.13,1.37,2.47,1.12,27.8,true
UPN,UPN 60,channel,5.1,60,30,6,6,6.46,31.6,10.5,2.21,4.51,2.16,0.84,0.91,1.5,0.939,21.9,true
UPN,UPN 65,channel,7.1,65,42,5.5,7.5,9.0,58,17.7,2.52,14.1,5.07,1.25,1.42,2.60,1.61,77.3,true
UPN,UPN 80,channel,8.6,80,45,6,8,11.0,106,26.5,3.1,19.4,6.4,1.33,1.45,2.67,2.16,168,true
UPN,UPN 100,channel,10.6,100,50,6,8.5,13.5,206,41,3.9,29.3,8.5,1.47,1.55,2.93,2.81,414,true
UPN,UPN 120,channel,13.4,120,55,7,9,17.0,364,61,4.6,43.2,11.1,1.59,1.60,3.03,4.15,900,true
UPN,UPN 140,channel,16.0,140,60,7,10,20.4,605,86,5.5,63,14.8,1.75,1.75,3.37,5.7,1800,true
UPN,UPN 160,channel,18.8,160,65,7.5,10.5,24.0,925,116,6.2,85,18.3,1.89,1.84,3.56,7.4,3260,true
UPN,UPN 180,channel,22.0,180,70,8,11,28.0,1350,150,6.95,114,22.4,2.02,1.92,3.75,9.6,5570,true
UPN,UPN 200,channel,25.3,200,75,8.5,11.5,32.2,1910,191,7.7,148,27.0,2.14,2.01,3.94,11.9,9070,true
UPN,UPN 220,channel,29.4,220,80,9,12.5,37.4,2690,245,8.5,197,33.6,2.30,2.14,4.20,16.0,14600,true
UPN,UPN 240,channel,33.2,240,85,9.5,13,42.3,3600,300,9.2,248,39.6,2.42,2.23,4.39,19.7,22100,true
UPN,UPN 260,channel,37.9,260,90,10,14,48.3,4820,371,10.0,317,47.7,2.56,2.36,4.66,25.5,33300,true
UPN,UPN 280,channel,41.8,280,95,10,15,53.3,6280,448,10.9,399,57.2,2.74,2.53,5.02,31.0,48500,true
UPN,UPN 300,channel,46.2,300,100,10,16,58.8,8030,535,11.7,495,67.8,2.90,2.70,5.41,37,69100,true
UPN,UPN 320,channel,59.5,320,100,14,17.5,76,10870,679,12.1,597,80.6,2.81,2.60,4.82,67,96100,true
UPN,UPN 350,channel,60.6,350,100,14,16,77,12840,734,12.9,570,75,2.72,2.40,4.45,61,114000,true
UPN,UPN 380,channel,63.1,380,102,13.5,16,80,15760,829,14.0,615,79,2.77,2.38,4.58,59,146000,true
UPN,UPN 400,channel,71.8,400,110,14,18,92,20350,1020,14.9,846,102,3.04,2.65,5.11,82,221000,true
